"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"12835","Finland",2020-10-10,263,11849,269,346,0,8500,0,3003,213.8,4.9,54.2,6.2,0,211,195
"13061","France",2020-10-10,263,732434,0,32601,0,103232,0,596601,1122.1,0,914,49.9,0,224,217
"13262","Gabon",2020-10-10,263,8835,0,54,0,8189,0,592,396.9,0,26.6,2.4,0,176,149
"13433","Georgia",2020-10-10,263,11271,519,78,6,6119,253,5074,282.6,13,127.2,2,0.2,194,155
"13687","Germany",2020-10-10,263,323463,2968,9620,21,274934,1216,38909,386.1,3.5,46.4,11.5,0,223,209
"14086","Ghana",2020-10-10,263,47005,18,306,0,46398,20,301,151.3,0.1,1,1,0,198,169
"14330","Greece",2020-10-10,263,22078,306,436,5,1347,0,20295,211.8,2.9,194.7,4.2,0,211,203
"14493","Grenada",2020-10-10,263,24,0,0,0,24,0,0,21.2,0,0,0,0,0,0
"14617","Guatemala",2020-10-10,263,97544,609,3365,9,86046,703,8133,544.5,3.4,45.4,18.8,0.1,183,170
"14859","Guinea",2020-10-10,263,10996,42,69,1,10304,39,623,83.7,0.3,4.7,0.5,0,189,158
"14959","Guinea-Bissau",2020-10-10,263,2385,0,40,0,1728,0,617,121.2,0,31.4,2,0,164,127
"15271","Guyana",2020-10-10,263,3405,47,102,2,2304,124,999,432.7,6,126.9,13,0.3,153,158
"15443","Haiti",2020-10-10,263,8860,6,230,0,7104,91,1526,77.7,0.1,13.4,2,0,159,159
"15611","Holy See (Vatican City)",2020-10-10,263,12,0,0,0,12,0,0,1200,0,0,0,0,0,0
"15865","Honduras",2020-10-10,263,83146,594,2504,12,31931,195,48711,839.4,6,491.8,25.3,0.1,195,192
"16064","Hong Kong",2020-10-10,263,5175,6,105,0,4914,8,156,69,0.1,2.1,1.4,0,222,87
"16370","Hungary",2020-10-10,263,36596,1374,933,20,9683,481,25980,378.8,14.2,268.9,9.7,0.2,203,199
"16526","Iceland",2020-10-10,263,3460,87,10,0,2466,18,984,1014.7,25.5,288.6,2.9,0,212,173
"16808","India",2020-10-10,263,7053806,74383,108334,918,6077976,89154,867496,511.1,5.4,62.9,7.9,0.1,210,201
"17151","Indonesia",2020-10-10,263,328952,4294,11765,88,251481,3814,65706,120.3,1.6,24,4.3,0,209,206
"17209","Iran (Islamic Republic of)",2020-10-10,263,496253,3875,28293,195,403950,2571,64010,590.8,4.6,76.2,33.7,0.2,227,229
"17489","Iraq",2020-10-10,263,400124,2344,9790,55,332330,4233,58004,994.8,5.8,144.2,24.3,0.1,211,210
"17677","Ireland",2020-10-10,263,41714,1011,1824,3,23364,0,16526,844.8,20.5,334.7,36.9,0.1,210,198
"17903","Israel",2020-10-10,263,289875,2017,1941,55,225725,477,62209,3348.8,23.3,718.7,22.4,0.6,212,197
"18362","Italy",2020-10-10,263,349494,5724,36140,29,238525,976,74829,578,9.5,123.8,59.8,0,230,228
"18396","Jamaica",2020-10-10,263,7559,196,138,6,3142,40,4279,255.3,6.6,144.5,4.7,0.2,178,129
"18685","Japan",2020-10-10,263,88962,695,1626,3,80798,658,6538,70.3,0.5,5.2,1.3,0,232,215
"18884","Jordan",2020-10-10,263,23998,1235,181,15,6045,139,17772,235.2,12.1,174.2,1.8,0.1,202,99
"19207","Kazakhstan",2020-10-10,263,108757,94,1746,0,103980,70,3031,579.2,0.5,16.1,9.3,0,198,183
"19468","Kenya",2020-10-10,263,41158,538,760,5,31876,0,8522,76.5,1,15.8,1.4,0,191,178
"19648","Kosovo",2020-10-10,263,16130,159,645,7,14282,93,1203,896.1,8.8,66.8,35.8,0.4,193,176
"19838","Kuwait",2020-10-10,263,110568,492,655,6,102722,698,7191,2588.8,11.5,168.4,15.3,0.1,210,172
"20019","Kyrgyzstan",2020-10-10,263,48924,307,1082,5,44227,130,3615,749.9,4.7,55.4,16.6,0.1,193,160
"20343","Lao People's Democratic Republic",2020-10-10,263,23,0,0,0,22,0,1,0.3,0,0,0,0,0,0
"20354","Latvia",2020-10-10,263,2596,89,40,0,1322,0,1234,137.6,4.7,65.4,2.1,0,204,171
"20709","Lebanon",2020-10-10,263,52558,1388,455,5,22719,312,29384,770.1,20.3,430.5,6.7,0.1,209,195
"20917","Lesotho",2020-10-10,263,1800,0,42,0,926,0,832,84,0,38.8,2,0,93,76
"21016","Liberia",2020-10-10,263,1363,3,82,0,1245,0,36,26.9,0.1,0.7,1.6,0,172,168
"21359","Libya",2020-10-10,263,41686,318,623,2,23791,338,17272,606.7,4.6,251.4,9.1,0,135,118
"21395","Liechtenstein",2020-10-10,263,142,3,1,0,117,0,24,373.7,7.9,63.2,2.6,0,47,0
"21707","Lithuania",2020-10-10,263,5963,205,103,0,2751,29,3109,219.1,7.5,114.2,3.8,0,202,189
"22006","Luxembourg",2020-10-10,263,9119,0,128,0,7900,0,1091,1456.7,0,174.3,20.4,0,207,197
"22228","Macao",2020-10-10,263,46,0,0,0,46,0,0,7.1,0,0,0,0,0,0
"22343","Madagascar",2020-10-10,263,16702,26,237,0,16012,37,453,60.3,0.1,1.6,0.9,0,182,122
"22732","Mainland China",2020-10-10,263,85557,21,4634,0,80698,9,225,5.9,0,0,0.3,0,262,262
"22771","Malawi",2020-10-10,263,5821,8,180,0,4644,13,997,30.4,0,5.2,0.9,0,138,111
"23156","Malaysia",2020-10-10,263,15096,374,155,3,10780,73,4161,46.6,1.2,12.9,0.5,0,215,202
"23284","Maldives",2020-10-10,263,10859,51,34,0,9683,29,1142,2007.2,9.4,211.1,6.3,0,170,100
"23589","Mali",2020-10-10,263,3273,25,132,1,2525,11,616,16.2,0.1,3,0.7,0,181,180
"23720","Malta",2020-10-10,263,3681,100,41,0,2937,22,703,832.8,22.6,159,9.3,0,201,50
"23960","Mauritania",2020-10-10,263,7550,2,163,0,7266,21,121,162.4,0,2.6,3.5,0,144,137
"24258","Mauritius",2020-10-10,263,395,0,10,0,358,0,27,31.1,0,2.1,0.8,0,196,166
"24412","Mexico",2020-10-10,263,814328,4308,83642,145,689377,2254,41309,631.6,3.3,32,64.9,0.1,206,197
"24530","Moldova, Republic of",2020-10-10,263,61762,929,1458,16,43982,493,16322,1531,23,404.6,36.1,0.4,201,189
"24722","Monaco",2020-10-10,263,233,0,2,0,209,0,22,597.4,0,56.4,5.1,0,111,0
"25014","Mongolia",2020-10-10,263,315,0,0,0,310,0,5,9.6,0,0.2,0,0,147,0
"25232","Montenegro",2020-10-10,263,13641,293,198,4,9429,103,4014,2172.1,46.7,639.2,31.5,0.6,193,104
"25451","Morocco",2020-10-10,263,149841,3443,2572,42,124854,1832,22415,406,9.3,60.7,7,0.1,202,198
"25704","Mozambique",2020-10-10,263,9844,102,70,1,7203,32,2571,31.5,0.3,8.2,0.2,0,152,84
"25815","MS Zaandam Cruise Ship",2020-10-10,263,9,0,2,0,0,0,7,NA,NA,NA,NA,NA,0,0
"26086","Namibia",2020-10-10,263,11891,62,128,1,9807,29,1956,468,2.4,77,5,0,107,72
"26279","Nepal",2020-10-10,263,105684,5008,614,14,74252,1229,30818,362.7,17.2,105.8,2.1,0,156,128
"26572","Netherlands",2020-10-10,263,173894,6546,6624,23,4761,52,162509,1014.8,38.2,948.4,38.7,0.1,218,211
"26683","New Zealand",2020-10-10,263,1871,1,25,0,1801,0,45,38.8,0,0.9,0.5,0,202,176
"27069","Nicaragua",2020-10-10,263,5264,0,153,0,4225,0,886,79.5,0,13.4,2.3,0,144,144
"27134","Niger",2020-10-10,263,1201,0,69,0,1123,0,9,5,0,0,0.3,0,190,188
"27326","Nigeria",2020-10-10,263,60103,111,1115,2,51711,97,7277,29.2,0.1,3.5,0.5,0,195,182
